butterfly,path,hitbox_image,frame,hitbox_x,hitbox_y,hitbox_w,hitbox_h,hitbox_r,hitbox_area,body_area,forewing_area,hindwing_area,tail_area
Gonepteryx_cleobule__Male,06,0192.png,192,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0193.png,193,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0194.png,194,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0195.png,195,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0196.png,196,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0197.png,197,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0198.png,198,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0199.png,199,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0200.png,200,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0201.png,201,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0202.png,202,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0203.png,203,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0204.png,204,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0205.png,205,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0206.png,206,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0207.png,207,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0208.png,208,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0209.png,209,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0210.png,210,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0211.png,211,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0212.png,212,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0213.png,213,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0214.png,214,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0215.png,215,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0216.png,216,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0217.png,217,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0218.png,218,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0219.png,219,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0220.png,220,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0221.png,221,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0222.png,222,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0223.png,223,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0224.png,224,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0225.png,225,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0226.png,226,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0227.png,227,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0228.png,228,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0229.png,229,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0230.png,230,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0231.png,231,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0232.png,232,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0233.png,233,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0234.png,234,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0235.png,235,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0236.png,236,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0237.png,237,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0238.png,238,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0239.png,239,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0240.png,240,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0241.png,241,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0242.png,242,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0243.png,243,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0244.png,244,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0245.png,245,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0246.png,246,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0247.png,247,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0248.png,248,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0249.png,249,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0250.png,250,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0251.png,251,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0252.png,252,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0253.png,253,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0254.png,254,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0255.png,255,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0256.png,256,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0257.png,257,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0258.png,258,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0259.png,259,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0260.png,260,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0261.png,261,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0262.png,262,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0263.png,263,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0264.png,264,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0265.png,265,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0266.png,266,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0267.png,267,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0268.png,268,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0269.png,269,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0270.png,270,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0271.png,271,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0272.png,272,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0273.png,273,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0274.png,274,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0275.png,275,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0276.png,276,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0277.png,277,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0278.png,278,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0279.png,279,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0280.png,280,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0281.png,281,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0282.png,282,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0283.png,283,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0284.png,284,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0285.png,285,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0286.png,286,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0287.png,287,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0288.png,288,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0289.png,289,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0290.png,290,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0291.png,291,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0292.png,292,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0293.png,293,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0294.png,294,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0295.png,295,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0296.png,296,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0297.png,297,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0298.png,298,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0299.png,299,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0300.png,300,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0301.png,301,0,0,0,0,0,0,0,0,0,0
Gonepteryx_cleobule__Male,06,0302.png,302,0,0,0,0,0,0,0,0,0,0
