genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Anthocharis,cardamines,Anthocharis_cardamines,Male,White_Gliding,White,Gliding,0.9998,0.0006,1.001,0.0006,2.4504,0.0019,5.98E-05,6.75E-05
Anthocharis,cardamines,Anthocharis_cardamines,Male,White_Flapping,White,Flapping,0.8054,0.1883,0.8069,0.1884,1.028,0.4691,0.2224,0.1449
Anthocharis,damone,Anthocharis_damone,Female,Patterned_Gliding,Patterned,Gliding,0.5027,0.0008,0.5037,0.0008,0.8938,0.0016,6.17E-05,3.21E-05
Anthocharis,damone,Anthocharis_damone,Female,Patterned_Flapping,Patterned,Flapping,0.3055,0.0987,0.3063,0.0988,0.3467,0.1717,0.0889,0.0516
Anthocharis,damone,Anthocharis_damone,Female,Averaged_Gliding,Averaged,Gliding,0.2163,0.0002,0.2166,0.0002,0.5744,0.0006,1.35E-05,1.42E-05
Anthocharis,damone,Anthocharis_damone,Female,Averaged_Flapping,Averaged,Flapping,0.1428,0.0507,0.1431,0.0508,0.2081,0.1124,0.045,0.0309
Anthocharis,damone,Anthocharis_damone,Female,White_Gliding,White,Gliding,0.9952,0.001,0.9967,0.001,2.6424,0.0026,6.23E-05,6.53E-05
Anthocharis,damone,Anthocharis_damone,Female,White_Flapping,White,Flapping,0.7691,0.1898,0.7706,0.1898,1.0713,0.4903,0.2218,0.1508
Anthocharis,damone,Anthocharis_damone,Male,Patterned_Gliding,Patterned,Gliding,0.2277,0.0006,0.2285,0.0006,0.4484,0.0006,2.27E-05,5.35E-05
Anthocharis,damone,Anthocharis_damone,Male,Patterned_Flapping,Patterned,Flapping,0.1649,0.0511,0.1658,0.0513,0.1757,0.0878,0.0332,0.0202
Anthocharis,damone,Anthocharis_damone,Male,Averaged_Gliding,Averaged,Gliding,0.0659,5.67E-05,0.066,5.67E-05,0.1713,0.0002,4.56E-06,4.29E-06
Anthocharis,damone,Anthocharis_damone,Male,Averaged_Flapping,Averaged,Flapping,0.0428,0.0147,0.0429,0.0147,0.0602,0.0345,0.0138,0.0094
Anthocharis,damone,Anthocharis_damone,Male,White_Gliding,White,Gliding,1.0143,0.0009,1.0152,0.0009,2.6362,0.0028,7.02E-05,6.60E-05
Anthocharis,damone,Anthocharis_damone,Male,White_Flapping,White,Flapping,0.8014,0.1954,0.8028,0.1955,1.0678,0.4943,0.2265,0.1496
